INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
         -0.001562       -0.001067        0.000884
         -0.002186       -0.000205        0.000562
         -0.002601        0.000444        0.000188
         -0.003070        0.000699       -0.000477
         -0.003625        0.000400       -0.001586
         -0.003886       -0.000510       -0.002511
         -0.004021       -0.001615       -0.002648
         -0.004569       -0.002262       -0.002430
         -0.005209       -0.002333       -0.002452
         -0.005120       -0.002201       -0.002313
         -0.004493       -0.002012       -0.001427
         -0.004277       -0.001709       -0.000240
         -0.004555       -0.001553        0.000364
         -0.004502       -0.001820        0.000258
         -0.003880       -0.002261       -0.000080
         -0.003383       -0.002480       -0.000433
         -0.003465       -0.002437       -0.000920
         -0.003724       -0.002228       -0.001519
         -0.003619       -0.001898       -0.001929
         -0.003238       -0.001592       -0.001824
         -0.003172       -0.001408       -0.001135
         -0.003745       -0.001224       -0.000194
         -0.004518       -0.001019        0.000498
         -0.004782       -0.001050        0.000667
         -0.004584       -0.001477        0.000295
         -0.004663       -0.002087       -0.000559
         -0.005217       -0.002504       -0.001632
         -0.005544       -0.002543       -0.002519
         -0.005183       -0.002440       -0.003162
         -0.004601       -0.002672       -0.003808
         -0.004397       -0.003336       -0.004324
         -0.004478       -0.003890       -0.004227
         -0.004318       -0.003817       -0.003511
         -0.003729       -0.003335       -0.002658
         -0.003102       -0.003083       -0.001838
         -0.002766       -0.003276       -0.000845
         -0.002438       -0.003505        0.000172
         -0.001832       -0.003290        0.000624
         -0.001425       -0.002566        0.000168
         -0.001715       -0.001692       -0.000890
         -0.002122       -0.001119       -0.001857
         -0.001864       -0.000971       -0.002187
         -0.001476       -0.000936       -0.001965
         -0.001984       -0.000715       -0.001747
         -0.002971       -0.000410       -0.001728
         -0.003102       -0.000266       -0.001514
