epoch,seconds,train_loss,train_mae_samples,train_mae_seconds,train_median_ae_samples,train_rmse_samples,train_within_0_1s_percent,train_within_0_2s_percent,train_within_0_5s_percent,train_mean_peak_probability,validation_loss,validation_mae_samples,validation_mae_seconds,validation_median_ae_samples,validation_rmse_samples,validation_within_0_1s_percent,validation_within_0_2s_percent,validation_within_0_5s_percent,validation_mean_peak_probability
58,49.47574149999855,3.939555047607422,21.5809,0.215809,4.0,77.55899947781688,76.13499999999999,86.3475,93.1275,0.07002812986373902,3.8809187507629392,19.503,0.19503,4.0,73.03016226190381,77.94,87.56,93.64,0.05221689300537109
59,49.64757190000091,3.9341463775634766,21.62685,0.2162685,4.0,77.71548269167477,76.2025,86.315,93.1725,0.0700218581199646,3.8816015605926513,19.3514,0.19351400000000002,4.0,70.89535527804343,77.98,87.6,93.52000000000001,0.05265846328735352
60,48.412403799997264,3.9328105613708497,21.492475,0.21492475,4.0,77.5603050857847,76.13,86.7025,93.2825,0.0701306016921997,3.886937035369873,20.4186,0.204186,4.0,73.5067683958423,77.10000000000001,86.83999999999999,93.08,0.05362898101806641
61,45.550316400000156,3.932678178405762,21.58415,0.21584150000000002,4.0,77.88619261460917,76.36749999999999,86.6875,93.2525,0.0697280595779419,3.881489805603027,19.1056,0.191056,4.0,69.53916019049986,77.42,87.3,93.62,0.0517735221862793
62,48.862685000000056,3.9241232570648195,21.0786,0.21078600000000003,4.0,76.13899198176976,76.165,86.59750000000001,93.305,0.07016810894012451,3.8708609535217287,19.1322,0.19132200000000002,4.0,70.52901105219043,78.44,87.86,93.66,0.051912727355957033
63,49.48681270000088,3.923964685821533,21.022825,0.21022825,4.0,75.97845138590283,76.53750000000001,86.7525,93.425,0.07025344181060791,3.8643788375854493,19.5736,0.195736,4.0,71.51315123807649,77.66,87.44,93.46,0.05332413024902344
64,50.38252979999743,3.9196933269500733,21.258225,0.21258225,4.0,77.01929741954285,76.47500000000001,86.7125,93.3525,0.07029666814804077,3.861802075958252,18.5414,0.185414,4.0,69.48130539936624,78.03999999999999,87.88,94.02000000000001,0.05129579544067383
65,46.62375020000036,3.9186735191345217,20.744275,0.20744274999999998,4.0,74.96071621189328,76.38000000000001,86.835,93.49,0.07007034168243408,3.869070964050293,19.1396,0.191396,4.0,69.37257671443378,78.24,87.5,93.47999999999999,0.05502072067260742
66,48.437904599999456,3.9125888381958007,20.43175,0.2043175,4.0,74.66482471686383,76.74499999999999,87.0275,93.62,0.07021733093261719,3.9036334365844727,21.9582,0.21958200000000003,4.0,80.01357759780524,78.22,87.22,92.94,0.05280823249816895
67,49.76272719999906,3.909069533920288,20.2727,0.202727,4.0,74.21335122469542,76.6875,87.0275,93.67,0.07037177314758301,3.8553728858947753,18.5222,0.18522200000000003,4.0,67.68247188157359,77.84,87.52,93.97999999999999,0.05210066146850586
68,49.672705199998745,3.908311486816406,20.387275,0.20387275,4.0,74.16055504781501,76.6925,86.9475,93.58999999999999,0.07026620864868165,3.8562616790771482,17.9284,0.179284,4.0,66.21124677877619,78.38000000000001,87.92,93.88,0.05317161254882812
69,49.23367359999975,3.908677961730957,20.4349,0.204349,4.0,74.61341735907826,76.7075,86.96000000000001,93.625,0.0704485502243042,3.8693395782470703,18.5606,0.18560600000000002,4.0,67.97131895145186,78.18,87.4,93.76,0.05259695434570313
70,49.61260559999937,3.902555314254761,20.276525,0.20276525,4.0,74.50685186612034,76.89,87.1625,93.695,0.07016236867904663,3.8714548351287843,20.4476,0.20447600000000002,4.0,75.64726300402414,77.82,87.26,93.34,0.05362520980834961
71,47.92119399999865,3.9049039329528807,20.403025,0.20403025,4.0,74.32929452779705,76.8025,86.9825,93.6025,0.07052621822357177,3.84669620513916,17.7252,0.17725200000000002,4.0,64.96235525286933,78.53999999999999,87.76,94.08,0.05340884857177734
72,45.40874039999835,3.89498052444458,20.08015,0.2008015,4.0,73.84872916983744,76.9375,87.2025,93.8475,0.07053576860427857,3.8491436935424805,18.2298,0.18229800000000002,3.0,68.46268326614141,78.78,88.08,94.02000000000001,0.05389614791870117
73,45.809933600001386,3.8965706840515137,20.096575,0.20096575000000003,4.0,74.00663906028971,77.06,87.3625,93.71000000000001,0.07036131477355957,3.853213298416138,18.8992,0.188992,4.0,69.36280559492963,78.48,87.6,93.72,0.05279898147583008
74,45.7163369000009,3.8897523826599123,19.58645,0.1958645,4.0,71.90568579743885,77.01249999999999,87.3825,93.8575,0.07040978460311889,3.8460028301239015,17.8504,0.178504,4.0,65.81435101860384,78.24,87.8,94.02000000000001,0.055257070922851564
75,45.25484610000058,3.8913467144012452,19.8656,0.198656,4.0,73.20263895516335,77.17,87.33,93.8,0.07040161380767822,3.8685717697143556,18.851,0.18850999999999998,4.0,67.8706342979053,77.44,87.33999999999999,93.5,0.05404489059448242
76,45.62938840000061,3.8901223693847657,19.434925,0.19434925,4.0,71.62476998217865,77.1725,87.575,93.9425,0.07057193727493286,3.847317855834961,18.2202,0.18220199999999998,4.0,68.36031451068668,78.53999999999999,87.9,94.08,0.054062579345703125
77,49.625385500003176,3.886213333129883,19.663625,0.19663624999999998,4.0,73.40866825518633,77.33250000000001,87.47749999999999,93.95750000000001,0.0703383882522583,3.8442327087402344,18.0038,0.18003799999999998,4.0,66.28091278792108,78.16,87.88,94.0,0.054055155181884765
78,45.96334719999868,3.8824008808135986,19.25935,0.1925935,4.0,71.17489304523049,77.53,87.6075,94.06,0.0705734034538269,3.850459582519531,18.436,0.18436,4.0,68.09545652978619,77.82,87.53999999999999,93.86,0.05252413940429688
79,48.1357895000001,3.8809279724121093,19.46305,0.19463049999999998,4.0,72.38430147483638,77.2725,87.625,93.9225,0.07044326639175415,3.836112901687622,18.3048,0.183048,4.0,68.14114175738472,78.68,88.16000000000001,94.02000000000001,0.05378757553100586
80,49.41360060000079,3.8794543182373045,19.641525,0.19641525,4.0,73.3121430937604,77.4075,87.50750000000001,94.0275,0.070575439453125,3.8568353530883788,18.3508,0.183508,3.0,69.58826337824505,78.78,88.32,94.06,0.05236627197265625
